batsman,bowler,P0,P1,P2,P3,P4,P6,p_not_out
A Ashish Reddy,A Nehra,0.56,0.33,0.0,0.0,0.11,0.0,0.89
A Ashish Reddy,AB Dinda,0.14,0.71,0.0,0.0,0.14,0.0,
A Ashish Reddy,AD Mathews,0.17,0.42,0.17,0.0,0.08,0.17,
A Ashish Reddy,AD Russell,0.0,0.67,0.33,0.0,0.0,0.0,
A Ashish Reddy,Anureet Singh,0.0,1.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,Azhar Mahmood,0.33,0.67,0.0,0.0,0.0,0.0,
A Ashish Reddy,B Kumar,0.0,1.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,BW Hilfenhaus,0.5,0.0,0.5,0.0,0.0,0.0,0.5
A Ashish Reddy,CH Morris,0.2,0.4,0.0,0.2,0.0,0.2,
A Ashish Reddy,DJ Bravo,0.31,0.31,0.08,0.0,0.23,0.08,0.92
A Ashish Reddy,Harbhajan Singh,0.38,0.38,0.12,0.0,0.0,0.12,
A Ashish Reddy,Imran Tahir,0.0,1.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,J Botha,1.0,0.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,JEC Franklin,0.33,0.33,0.33,0.0,0.0,0.0,
A Ashish Reddy,JP Duminy,0.0,1.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,JP Faulkner,0.5,0.0,0.5,0.0,0.0,0.0,
A Ashish Reddy,KA Pollard,0.33,0.33,0.33,0.0,0.0,0.0,0.67
A Ashish Reddy,KK Cooper,0.2,0.4,0.2,0.0,0.2,0.0,
A Ashish Reddy,M Kartik,0.38,0.5,0.12,0.0,0.0,0.0,
A Ashish Reddy,M Morkel,0.2,0.6,0.2,0.0,0.0,0.0,0.8
A Ashish Reddy,MG Johnson,0.0,0.33,0.33,0.0,0.33,0.0,
A Ashish Reddy,MM Patel,1.0,0.0,0.0,0.0,0.0,0.0,0.5
A Ashish Reddy,MM Sharma,0.0,0.5,0.0,0.0,0.0,0.5,
A Ashish Reddy,MR Marsh,0.0,1.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,MS Gony,0.5,0.25,0.0,0.0,0.25,0.0,
A Ashish Reddy,NM Coulter-Nile,1.0,0.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,P Awana,1.0,0.0,0.0,0.0,0.0,0.0,0.5
A Ashish Reddy,P Kumar,0.25,0.5,0.0,0.0,0.25,0.0,
A Ashish Reddy,PP Chawla,0.0,1.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,PV Tambe,0.25,0.75,0.0,0.0,0.0,0.0,
A Ashish Reddy,Parvez Rasool,0.22,0.44,0.0,0.0,0.22,0.11,
A Ashish Reddy,R Vinay Kumar,0.27,0.55,0.09,0.0,0.0,0.09,0.82
A Ashish Reddy,RJ Peterson,0.6,0.2,0.0,0.0,0.0,0.2,
A Ashish Reddy,RP Singh,0.5,0.5,0.0,0.0,0.0,0.0,0.5
A Ashish Reddy,SL Malinga,0.5,0.25,0.25,0.0,0.0,0.0,
A Ashish Reddy,SMSM Senanayake,0.5,0.25,0.25,0.0,0.0,0.0,0.75
A Ashish Reddy,SP Narine,0.0,1.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,SR Watson,0.4,0.6,0.0,0.0,0.0,0.0,0.8
A Ashish Reddy,STR Binny,0.25,0.5,0.25,0.0,0.0,0.0,0.75
A Ashish Reddy,SW Tait,0.25,0.0,0.25,0.0,0.5,0.0,
A Ashish Reddy,Sandeep Sharma,0.0,0.33,0.0,0.0,0.0,0.67,
A Ashish Reddy,TG Southee,0.25,0.25,0.25,0.0,0.0,0.25,
A Ashish Reddy,UT Yadav,0.2,0.4,0.1,0.0,0.2,0.1,
A Ashish Reddy,YS Chahal,0.57,0.14,0.0,0.0,0.0,0.29,
A Chandila,R Rampaul,0.5,0.5,0.0,0.0,0.0,0.0,
A Chandila,R Vinay Kumar,0.5,0.5,0.0,0.0,0.0,0.0,
A Chandila,RP Singh,0.0,1.0,0.0,0.0,0.0,0.0,
A Chandila,V Pratap Singh,1.0,0.0,0.0,0.0,0.0,0.0,
A Chopra,DP Vijaykumar,0.8,0.2,0.0,0.0,0.0,0.0,
A Chopra,DW Steyn,0.75,0.25,0.0,0.0,0.0,0.0,0.75
A Chopra,GD McGrath,0.5,0.5,0.0,0.0,0.0,0.0,
A Chopra,Harmeet Singh,0.88,0.0,0.0,0.0,0.12,0.0,
A Chopra,JR Hopes,0.5,0.5,0.0,0.0,0.0,0.0,0.5
A Chopra,PJ Sangwan,0.7,0.2,0.0,0.0,0.1,0.0,0.9
A Chopra,PP Chawla,0.0,1.0,0.0,0.0,0.0,0.0,
A Chopra,PP Ojha,0.5,0.5,0.0,0.0,0.0,0.0,0.83
A Chopra,RP Singh,0.17,0.5,0.17,0.0,0.17,0.0,
A Chopra,SB Bangar,0.25,0.25,0.0,0.0,0.5,0.0,
A Chopra,SB Styris,0.71,0.14,0.0,0.0,0.14,0.0,
A Chopra,SM Pollock,0.75,0.25,0.0,0.0,0.0,0.0,
A Chopra,VY Mahesh,0.5,0.25,0.0,0.0,0.25,0.0,
A Chopra,WPUJC Vaas,0.5,0.5,0.0,0.0,0.0,0.0,
A Chopra,Y Venugopal Rao,0.71,0.14,0.14,0.0,0.0,0.0,
A Chopra,Z Khan,0.0,1.0,0.0,0.0,0.0,0.0,
A Choudhary,AJ Tye,0.33,0.67,0.0,0.0,0.0,0.0,
A Choudhary,AR Patel,0.0,1.0,0.0,0.0,0.0,0.0,
A Choudhary,BCJ Cutting,0.5,0.0,0.0,0.0,0.0,0.5,
A Choudhary,Basil Thampi,0.0,0.5,0.25,0.0,0.25,0.0,
A Choudhary,JP Faulkner,0.0,1.0,0.0,0.0,0.0,0.0,
A Choudhary,MM Sharma,0.5,0.5,0.0,0.0,0.0,0.0,
A Flintoff,A Nehra,0.5,0.25,0.25,0.0,0.0,0.0,0.75
A Flintoff,DJ Bravo,0.57,0.0,0.0,0.14,0.14,0.14,
A Flintoff,DL Vettori,0.5,0.33,0.17,0.0,0.0,0.0,
A Flintoff,DP Nannes,1.0,0.0,0.0,0.0,0.0,0.0,
A Flintoff,DW Steyn,0.25,0.5,0.0,0.0,0.12,0.12,
A Flintoff,Harbhajan Singh,0.6,0.4,0.0,0.0,0.0,0.0,0.8
A Flintoff,KP Pietersen,0.25,0.5,0.0,0.0,0.25,0.0,
A Flintoff,MK Tiwary,0.0,1.0,0.0,0.0,0.0,0.0,
A Flintoff,P Kumar,0.0,1.0,0.0,0.0,0.0,0.0,
A Flintoff,PJ Sangwan,0.25,0.5,0.0,0.0,0.25,0.0,
A Flintoff,RR Raje,0.0,1.0,0.0,0.0,0.0,0.0,
A Flintoff,SL Malinga,1.0,0.0,0.0,0.0,0.0,0.0,
A Flintoff,ST Jayasuriya,0.0,0.75,0.0,0.0,0.25,0.0,
A Flintoff,Z Khan,0.75,0.25,0.0,0.0,0.0,0.0,
A Kumble,A Flintoff,0.5,0.5,0.0,0.0,0.0,0.0,
A Kumble,A Mishra,0.0,1.0,0.0,0.0,0.0,0.0,
A Kumble,AB McDonald,0.0,1.0,0.0,0.0,0.0,0.0,
A Kumble,CRD Fernando,0.67,0.33,0.0,0.0,0.0,0.0,
A Kumble,DJ Bravo,0.33,0.33,0.0,0.0,0.33,0.0,
A Kumble,Harbhajan Singh,0.5,0.5,0.0,0.0,0.0,0.0,
A Kumble,Harmeet Singh,0.5,0.5,0.0,0.0,0.0,0.0,
A Kumble,IK Pathan,0.5,0.33,0.0,0.0,0.17,0.0,
A Kumble,JA Morkel,0.0,0.0,1.0,0.0,0.0,0.0,
A Kumble,M Muralitharan,1.0,0.0,0.0,0.0,0.0,0.0,
A Kumble,PP Chawla,0.75,0.25,0.0,0.0,0.0,0.0,
A Kumble,R McLaren,0.67,0.33,0.0,0.0,0.0,0.0,
A Kumble,RA Jadeja,0.33,0.67,0.0,0.0,0.0,0.0,
A Kumble,RJ Harris,0.5,0.5,0.0,0.0,0.0,0.0,
A Kumble,RP Singh,0.0,1.0,0.0,0.0,0.0,0.0,
A Kumble,SK Warne,0.33,0.33,0.0,0.0,0.33,0.0,
A Kumble,SL Malinga,0.0,1.0,0.0,0.0,0.0,0.0,
A Kumble,Sohail Tanvir,0.5,0.5,0.0,0.0,0.0,0.0,0.5
A Kumble,VRV Singh,0.33,0.67,0.0,0.0,0.0,0.0,
A Kumble,YA Abdulla,1.0,0.0,0.0,0.0,0.0,0.0,0.5
A Mishra,A Nehra,0.33,0.33,0.33,0.0,0.0,0.0,
A Mishra,A Singh,0.0,1.0,0.0,0.0,0.0,0.0,
A Mishra,A Symonds,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AB Agarkar,0.4,0.6,0.0,0.0,0.0,0.0,
A Mishra,AB Dinda,0.27,0.53,0.07,0.0,0.13,0.0,
A Mishra,AD Mathews,0.25,0.75,0.0,0.0,0.0,0.0,
A Mishra,AG Murtaza,0.0,1.0,0.0,0.0,0.0,0.0,
A Mishra,AN Ahmed,0.25,0.75,0.0,0.0,0.0,0.0,
A Mishra,Azhar Mahmood,0.0,0.75,0.0,0.0,0.25,0.0,
A Mishra,B Lee,0.0,1.0,0.0,0.0,0.0,0.0,
A Mishra,BA Stokes,0.6,0.4,0.0,0.0,0.0,0.0,
A Mishra,Basil Thampi,0.0,0.0,0.0,0.0,1.0,0.0,
A Mishra,CH Morris,0.6,0.2,0.2,0.0,0.0,0.0,
A Mishra,CRD Fernando,0.25,0.75,0.0,0.0,0.0,0.0,0.75
A Mishra,D Wiese,0.0,1.0,0.0,0.0,0.0,0.0,
A Mishra,DE Bollinger,0.8,0.0,0.2,0.0,0.0,0.0,0.8
A Mishra,DJ Bravo,0.0,1.0,0.0,0.0,0.0,0.0,
A Mishra,DS Kulkarni,0.5,0.5,0.0,0.0,0.0,0.0,
A Mishra,GB Hogg,0.83,0.17,0.0,0.0,0.0,0.0,0.83
A Mishra,HH Pandya,0.0,1.0,0.0,0.0,0.0,0.0,
A Mishra,Harbhajan Singh,0.23,0.69,0.0,0.0,0.08,0.0,
A Mishra,Harmeet Singh,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,I Sharma,0.67,0.33,0.0,0.0,0.0,0.0,
A Mishra,IK Pathan,0.29,0.43,0.29,0.0,0.0,0.0,
A Mishra,Iqbal Abdulla,0.22,0.56,0.0,0.0,0.22,0.0,
A Mishra,J Theron,0.25,0.75,0.0,0.0,0.0,0.0,
A Mishra,JA Morkel,0.5,0.5,0.0,0.0,0.0,0.0,
A Mishra,JD Unadkat,0.12,0.5,0.12,0.0,0.0,0.25,
A Mishra,JH Kallis,0.38,0.38,0.25,0.0,0.0,0.0,
A Mishra,JJ Bumrah,1.0,0.0,0.0,0.0,0.0,0.0,0.5
A Mishra,JO Holder,0.6,0.1,0.1,0.0,0.2,0.0,
A Mishra,JP Duminy,0.0,0.0,0.33,0.0,0.33,0.33,
A Mishra,JP Faulkner,1.0,0.0,0.0,0.0,0.0,0.0,0.67
A Mishra,KA Pollard,0.6,0.4,0.0,0.0,0.0,0.0,0.9
A Mishra,KK Cooper,0.62,0.38,0.0,0.0,0.0,0.0,
A Mishra,KV Sharma,0.6,0.3,0.1,0.0,0.0,0.0,
A Mishra,Kamran Khan,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,L Ablish,0.25,0.75,0.0,0.0,0.0,0.0,
A Mishra,L Balaji,0.43,0.21,0.07,0.0,0.21,0.07,
A Mishra,LR Shukla,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,M Morkel,0.36,0.36,0.18,0.0,0.09,0.0,
A Mishra,MA Starc,0.67,0.33,0.0,0.0,0.0,0.0,0.67
A Mishra,MG Johnson,0.5,0.5,0.0,0.0,0.0,0.0,
A Mishra,MJ McClenaghan,1.0,0.0,0.0,0.0,0.0,0.0,
A Mishra,MM Patel,0.35,0.24,0.0,0.0,0.41,0.0,0.94
A Mishra,MM Sharma,1.0,0.0,0.0,0.0,0.0,0.0,
A Mishra,MR Marsh,0.38,0.5,0.0,0.0,0.12,0.0,0.88
A Mishra,NLTC Perera,1.0,0.0,0.0,0.0,0.0,0.0,
A Mishra,P Awana,0.0,1.0,0.0,0.0,0.0,0.0,
A Mishra,P Negi,0.33,0.5,0.0,0.0,0.0,0.17,
A Mishra,PC Valthaty,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,PP Chawla,0.25,0.75,0.0,0.0,0.0,0.0,
A Mishra,PP Ojha,0.67,0.33,0.0,0.0,0.0,0.0,
A Mishra,R Ashwin,0.58,0.42,0.0,0.0,0.0,0.0,0.92
A Mishra,R Bhatia,0.0,1.0,0.0,0.0,0.0,0.0,
A Mishra,R Dhawan,0.0,1.0,0.0,0.0,0.0,0.0,
A Mishra,R Sharma,0.17,0.83,0.0,0.0,0.0,0.0,
A Mishra,R Vinay Kumar,0.5,0.5,0.0,0.0,0.0,0.0,
A Mishra,RA Jadeja,0.0,1.0,0.0,0.0,0.0,0.0,
A Mishra,RP Singh,0.33,0.67,0.0,0.0,0.0,0.0,
A Mishra,SC Ganguly,0.33,0.53,0.07,0.0,0.07,0.0,
A Mishra,SK Trivedi,0.53,0.24,0.18,0.0,0.06,0.0,0.94
A Mishra,SK Warne,0.5,0.5,0.0,0.0,0.0,0.0,
A Mishra,SL Malinga,0.73,0.27,0.0,0.0,0.0,0.0,0.82
A Mishra,SP Narine,0.0,1.0,0.0,0.0,0.0,0.0,
A Mishra,SR Watson,0.67,0.25,0.0,0.0,0.08,0.0,
A Mishra,ST Jayasuriya,0.0,1.0,0.0,0.0,0.0,0.0,
A Mishra,STR Binny,0.71,0.29,0.0,0.0,0.0,0.0,
A Mishra,Sandeep Sharma,0.6,0.4,0.0,0.0,0.0,0.0,
A Mishra,TG Southee,0.5,0.5,0.0,0.0,0.0,0.0,
A Mishra,TS Mills,0.25,0.5,0.25,0.0,0.0,0.0,
A Mishra,UT Yadav,0.4,0.4,0.0,0.0,0.2,0.0,
A Mishra,VR Aaron,0.67,0.33,0.0,0.0,0.0,0.0,
A Mishra,WPUJC Vaas,1.0,0.0,0.0,0.0,0.0,0.0,
A Mithun,A Mishra,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mithun,DJ Bravo,1.0,0.0,0.0,0.0,0.0,0.0,0.5
A Mithun,DL Vettori,0.33,0.33,0.0,0.0,0.33,0.0,
A Mithun,M Morkel,1.0,0.0,0.0,0.0,0.0,0.0,0.5
A Mithun,PC Valthaty,0.33,0.33,0.33,0.0,0.0,0.0,
A Mithun,PP Chawla,0.0,1.0,0.0,0.0,0.0,0.0,
A Mithun,R Ashwin,0.0,1.0,0.0,0.0,0.0,0.0,
A Mithun,RJ Harris,0.33,0.33,0.0,0.0,0.17,0.17,0.83
A Mithun,SK Raina,0.25,0.25,0.0,0.0,0.5,0.0,
A Mithun,SP Narine,0.5,0.0,0.5,0.0,0.0,0.0,0.5
A Mukund,A Chandila,0.0,0.75,0.25,0.0,0.0,0.0,
A Mukund,JP Faulkner,0.57,0.43,0.0,0.0,0.0,0.0,
A Mukund,S Sreesanth,0.0,1.0,0.0,0.0,0.0,0.0,
A Mukund,SK Trivedi,0.67,0.33,0.0,0.0,0.0,0.0,0.67
A Mukund,SR Watson,0.29,0.43,0.14,0.0,0.14,0.0,
A Mukund,Sohail Tanvir,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AD Mascarenhas,0.33,0.67,0.0,0.0,0.0,0.0,
A Nehra,AD Russell,0.67,0.33,0.0,0.0,0.0,0.0,
A Nehra,DJ Bravo,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,GB Hogg,1.0,0.0,0.0,0.0,0.0,0.0,
A Nehra,Harmeet Singh,0.33,0.5,0.0,0.0,0.17,0.0,
A Nehra,IK Pathan,0.89,0.11,0.0,0.0,0.0,0.0,0.89
A Nehra,J Theron,0.5,0.5,0.0,0.0,0.0,0.0,
A Nehra,Joginder Sharma,0.5,0.5,0.0,0.0,0.0,0.0,
A Nehra,KA Pollard,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,MA Starc,1.0,0.0,0.0,0.0,0.0,0.0,
A Nehra,MG Johnson,0.5,0.5,0.0,0.0,0.0,0.0,
A Nehra,MR Marsh,0.5,0.25,0.0,0.0,0.25,0.0,
A Nehra,NLTC Perera,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,NM Coulter-Nile,0.0,1.0,0.0,0.0,0.0,0.0,
A Nehra,P Awana,1.0,0.0,0.0,0.0,0.0,0.0,
A Nehra,R Sharma,0.33,0.33,0.0,0.0,0.0,0.33,
A Nehra,S Sreesanth,0.67,0.33,0.0,0.0,0.0,0.0,
A Nehra,SL Malinga,1.0,0.0,0.0,0.0,0.0,0.0,0.67
A Nehra,SP Narine,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,STR Binny,0.25,0.25,0.25,0.0,0.25,0.0,
A Nehra,SW Tait,0.5,0.5,0.0,0.0,0.0,0.0,
A Nehra,VRV Singh,0.5,0.5,0.0,0.0,0.0,0.0,
A Nehra,WPUJC Vaas,0.0,1.0,0.0,0.0,0.0,0.0,
A Singh,A Mishra,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Singh,AB Agarkar,0.5,0.5,0.0,0.0,0.0,0.0,
A Singh,DE Bollinger,0.0,1.0,0.0,0.0,0.0,0.0,
A Singh,KA Pollard,1.0,0.0,0.0,0.0,0.0,0.0,0.67
A Singh,SK Raina,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Singh,Shakib Al Hasan,1.0,0.0,0.0,0.0,0.0,0.0,0.5
A Symonds,A Kumble,0.38,0.38,0.15,0.0,0.08,0.0,0.85
A Symonds,A Mishra,0.4,0.29,0.17,0.0,0.02,0.12,0.93
A Symonds,A Nehra,0.0,1.0,0.0,0.0,0.0,0.0,
A Symonds,AB Agarkar,0.15,0.65,0.1,0.0,0.05,0.05,0.95
A Symonds,AB Dinda,1.0,0.0,0.0,0.0,0.0,0.0,
A Symonds,AC Thomas,0.5,0.5,0.0,0.0,0.0,0.0,
A Symonds,AD Mathews,0.38,0.38,0.25,0.0,0.0,0.0,
A Symonds,AL Menaria,0.0,1.0,0.0,0.0,0.0,0.0,
A Symonds,AP Dole,0.4,0.6,0.0,0.0,0.0,0.0,
A Symonds,Anand Rajan,0.5,0.5,0.0,0.0,0.0,0.0,
A Symonds,B Akhil,0.0,1.0,0.0,0.0,0.0,0.0,
A Symonds,B Lee,0.44,0.44,0.11,0.0,0.0,0.0,
A Symonds,BA Bhatt,0.5,0.5,0.0,0.0,0.0,0.0,
A Symonds,BJ Hodge,0.5,0.5,0.0,0.0,0.0,0.0,
A Symonds,Bipul Sharma,0.33,0.33,0.11,0.11,0.0,0.11,
A Symonds,CH Gayle,0.5,0.5,0.0,0.0,0.0,0.0,0.5
A Symonds,CK Langeveldt,0.67,0.33,0.0,0.0,0.0,0.0,
A Symonds,D Salunkhe,0.0,0.5,0.0,0.0,0.0,0.5,
A Symonds,DE Bollinger,0.44,0.44,0.0,0.0,0.11,0.0,
A Symonds,DJ Bravo,0.33,0.33,0.0,0.0,0.33,0.0,
A Symonds,DJ Hussey,0.4,0.3,0.0,0.0,0.1,0.2,
A Symonds,DP Nannes,0.14,0.43,0.14,0.0,0.29,0.0,
A Symonds,DT Christian,0.42,0.42,0.08,0.0,0.08,0.0,
A Symonds,DW Steyn,0.33,0.33,0.12,0.0,0.17,0.04,0.96
A Symonds,GD McGrath,0.6,0.0,0.0,0.0,0.4,0.0,
A Symonds,I Sharma,0.44,0.44,0.06,0.0,0.06,0.0,0.94
A Symonds,IK Pathan,0.36,0.36,0.09,0.0,0.09,0.09,
A Symonds,J Botha,0.67,0.33,0.0,0.0,0.0,0.0,0.67
A Symonds,J Theron,0.67,0.33,0.0,0.0,0.0,0.0,0.67
A Symonds,JA Morkel,0.39,0.33,0.11,0.0,0.11,0.06,
A Symonds,JE Taylor,0.33,0.33,0.33,0.0,0.0,0.0,0.67
A Symonds,JH Kallis,0.29,0.41,0.0,0.0,0.24,0.06,
A Symonds,JM Kemp,0.83,0.17,0.0,0.0,0.0,0.0,
A Symonds,JR Hopes,0.0,1.0,0.0,0.0,0.0,0.0,
A Symonds,Joginder Sharma,0.0,0.5,0.0,0.0,0.0,0.5,
A Symonds,KA Pollard,0.33,0.5,0.17,0.0,0.0,0.0,
A Symonds,KP Appanna,0.0,0.8,0.0,0.0,0.2,0.0,
A Symonds,L Balaji,0.38,0.38,0.0,0.0,0.08,0.15,
A Symonds,M Kartik,0.41,0.45,0.09,0.0,0.05,0.0,
A Symonds,M Morkel,0.57,0.29,0.0,0.0,0.14,0.0,
A Symonds,M Muralitharan,0.67,0.33,0.0,0.0,0.0,0.0,
A Symonds,MB Parmar,0.22,0.44,0.0,0.0,0.33,0.0,
A Symonds,MC Henriques,0.5,0.5,0.0,0.0,0.0,0.0,0.5
A Symonds,MF Maharoof,0.5,0.5,0.0,0.0,0.0,0.0,0.5
A Symonds,MM Patel,0.36,0.18,0.0,0.09,0.36,0.0,
A Symonds,Mashrafe Mortaza,1.0,0.0,0.0,0.0,0.0,0.0,
A Symonds,Mohammad Asif,0.8,0.0,0.2,0.0,0.0,0.0,
A Symonds,Mohammad Hafeez,0.77,0.23,0.0,0.0,0.0,0.0,
A Symonds,P Kumar,0.47,0.27,0.07,0.0,0.13,0.07,
A Symonds,PD Collingwood,0.25,0.38,0.12,0.0,0.12,0.12,
A Symonds,PJ Sangwan,0.4,0.4,0.0,0.0,0.2,0.0,
A Symonds,PP Chawla,0.24,0.44,0.24,0.0,0.0,0.08,
A Symonds,PP Ojha,0.62,0.38,0.0,0.0,0.0,0.0,
A Symonds,Pankaj Singh,0.33,0.67,0.0,0.0,0.0,0.0,
A Symonds,R Ashwin,0.38,0.44,0.06,0.0,0.06,0.06,0.94
A Symonds,R Bhatia,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Symonds,R McLaren,0.5,0.12,0.25,0.0,0.12,0.0,0.88
A Symonds,R Sharma,0.0,1.0,0.0,0.0,0.0,0.0,
A Symonds,R Vinay Kumar,0.27,0.36,0.09,0.0,0.18,0.09,
A Symonds,RA Jadeja,0.44,0.33,0.11,0.0,0.11,0.0,0.89
A Symonds,RE van der Merwe,0.58,0.17,0.08,0.0,0.08,0.08,0.92
A Symonds,RJ Harris,0.0,1.0,0.0,0.0,0.0,0.0,
A Symonds,RR Powar,0.56,0.11,0.22,0.0,0.11,0.0,
A Symonds,S Ladda,0.4,0.4,0.0,0.0,0.0,0.2,
A Symonds,S Narwal,0.33,0.17,0.0,0.0,0.5,0.0,
A Symonds,S Randiv,0.62,0.12,0.12,0.0,0.12,0.0,
A Symonds,S Sreesanth,0.17,0.25,0.08,0.0,0.25,0.25,
A Symonds,SB Jakati,0.4,0.2,0.2,0.0,0.1,0.1,
A Symonds,SE Bond,0.62,0.12,0.12,0.0,0.12,0.0,
A Symonds,SJ Srivastava,0.43,0.43,0.0,0.0,0.14,0.0,
A Symonds,SK Raina,0.5,0.5,0.0,0.0,0.0,0.0,
A Symonds,SK Trivedi,0.14,0.48,0.05,0.05,0.19,0.1,0.95
A Symonds,SK Warne,0.24,0.42,0.13,0.03,0.08,0.11,
A Symonds,SL Malinga,1.0,0.0,0.0,0.0,0.0,0.0,0.83
A Symonds,SR Watson,0.62,0.25,0.0,0.0,0.12,0.0,
A Symonds,SW Tait,0.67,0.33,0.0,0.0,0.0,0.0,
A Symonds,T Thushara,0.67,0.33,0.0,0.0,0.0,0.0,
A Symonds,TM Dilshan,0.4,0.2,0.0,0.0,0.0,0.4,
A Symonds,UT Yadav,0.42,0.42,0.0,0.0,0.17,0.0,
A Symonds,V Kohli,0.38,0.38,0.12,0.0,0.0,0.12,
A Symonds,VY Mahesh,0.0,1.0,0.0,0.0,0.0,0.0,
A Symonds,WA Mota,0.33,0.42,0.25,0.0,0.0,0.0,
A Symonds,WD Parnell,0.33,0.33,0.0,0.0,0.33,0.0,
A Symonds,Y Nagar,0.17,0.33,0.0,0.0,0.33,0.17,
A Symonds,YK Pathan,0.0,0.33,0.33,0.0,0.0,0.33,
A Symonds,Yuvraj Singh,0.4,0.47,0.13,0.0,0.0,0.0,0.87
A Symonds,Z Khan,0.0,1.0,0.0,0.0,0.0,0.0,
A Uniyal,DP Nannes,0.0,1.0,0.0,0.0,0.0,0.0,
A Uniyal,S Ladda,0.67,0.33,0.0,0.0,0.0,0.0,
A Uniyal,SL Malinga,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Zampa,A Mishra,0.67,0.17,0.0,0.0,0.17,0.0,
A Zampa,A Nehra,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Zampa,Z Khan,1.0,0.0,0.0,0.0,0.0,0.0,
AA Bilakhia,A Kumble,0.0,0.67,0.0,0.0,0.33,0.0,
AA Bilakhia,A Mishra,0.45,0.45,0.09,0.0,0.0,0.0,0.91
AA Bilakhia,A Nehra,0.54,0.15,0.23,0.0,0.08,0.0,
AA Bilakhia,DL Vettori,0.83,0.17,0.0,0.0,0.0,0.0,0.83
AA Bilakhia,DP Nannes,0.71,0.0,0.14,0.0,0.14,0.0,
AA Bilakhia,JA Morkel,0.29,0.57,0.14,0.0,0.0,0.0,
AA Bilakhia,JDP Oram,0.5,0.5,0.0,0.0,0.0,0.0,
AA Bilakhia,L Balaji,0.0,0.0,0.0,0.0,1.0,0.0,
AA Bilakhia,M Muralitharan,0.75,0.25,0.0,0.0,0.0,0.0,
AA Bilakhia,P Kumar,0.12,0.5,0.25,0.0,0.12,0.0,
AA Bilakhia,PJ Sangwan,0.6,0.4,0.0,0.0,0.0,0.0,
AA Bilakhia,R Vinay Kumar,0.4,0.4,0.2,0.0,0.0,0.0,0.8
AA Bilakhia,SK Warne,0.67,0.33,0.0,0.0,0.0,0.0,0.67
AA Bilakhia,SM Harwood,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Bilakhia,SR Watson,0.0,1.0,0.0,0.0,0.0,0.0,
AA Bilakhia,TM Dilshan,0.5,0.5,0.0,0.0,0.0,0.0,
AA Bilakhia,V Sehwag,0.0,1.0,0.0,0.0,0.0,0.0,
AA Bilakhia,YK Pathan,0.75,0.25,0.0,0.0,0.0,0.0,
AA Chavan,BJ Hodge,0.67,0.33,0.0,0.0,0.0,0.0,
AA Chavan,KA Pollard,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,M Morkel,0.5,0.25,0.0,0.0,0.25,0.0,
AA Chavan,MM Patel,0.0,0.0,0.0,0.0,1.0,0.0,
AA Chavan,UT Yadav,0.0,1.0,0.0,0.0,0.0,0.0,
AA Jhunjhunwala,A Kumble,0.57,0.43,0.0,0.0,0.0,0.0,
AA Jhunjhunwala,A Mishra,0.3,0.5,0.2,0.0,0.0,0.0,
AA Jhunjhunwala,A Symonds,1.0,0.0,0.0,0.0,0.0,0.0,
AA Jhunjhunwala,AB Dinda,0.25,0.75,0.0,0.0,0.0,0.0,
AA Jhunjhunwala,AB McDonald,0.5,0.5,0.0,0.0,0.0,0.0,
AA Jhunjhunwala,AD Mathews,0.0,0.83,0.0,0.0,0.17,0.0,
AA Jhunjhunwala,AG Murtaza,0.33,0.33,0.0,0.0,0.17,0.17,
AA Jhunjhunwala,Azhar Mahmood,0.33,0.67,0.0,0.0,0.0,0.0,
AA Jhunjhunwala,BJ Hodge,0.0,0.75,0.0,0.0,0.25,0.0,
AA Jhunjhunwala,BW Hilfenhaus,0.0,1.0,0.0,0.0,0.0,0.0,
AA Jhunjhunwala,DE Bollinger,0.5,0.5,0.0,0.0,0.0,0.0,0.5
